name	description	pvalue	qvalue	phenotype	genes
GO:0035966	response to topologically incorrect protein	0.236060291695525	0.236060291695525	-1	3
GO:0035967	cellular response to topologically incorrect protein	0.236060291695525	0.236060291695525	-1	3
GO:0034620	cellular response to unfolded protein	0.236060291695525	0.236060291695525	-1	3
GO:0006986	response to unfolded protein	0.236060291695525	0.236060291695525	-1	3
GO:0051146	striated muscle cell differentiation	0.248105912703422	0.248105912703422	-1	3
GO:0034976	response to endoplasmic reticulum stress	0.299187450481296	0.299187450481296	-1	3
REAC:R-HSA-9031628	NGF-stimulated transcription	0.0274983173023987	0.0274983173023987	-1	3
REAC:R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	0.0538022882755263	0.0538022882755263	-1	3
REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	0.213928023016823	0.213928023016823	-1	3
REAC:R-HSA-166520	Signaling by NTRKs	0.241777289967936	0.241777289967936	-1	3
