NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPIND1	38	2.516871452331543	0.109785475	Yes	
row_1	F5	370	1.5926839113235474	0.16670012	Yes	
row_2	C6	1023	1.2066820859909058	0.19340643	Yes	
row_3	MASP2	1233	1.1395560503005981	0.23526704	Yes	
row_4	F13B	1399	1.0872275829315186	0.27661288	Yes	
row_5	CLTC	1727	0.9963905215263367	0.30731264	Yes	
row_6	C1QC	1856	0.9628303647041321	0.3446692	Yes	
row_7	CR1	2062	0.9178399443626404	0.37688527	Yes	
row_8	F2R	2633	0.8073062896728516	0.38927892	Yes	
row_9	F9	2880	0.7696092128753662	0.41326028	Yes	
row_10	C5AR1	3980	0.6123743057250977	0.39538845	Yes	
row_11	BDKRB1	4036	0.6064011454582214	0.419964	Yes	
row_12	LMAN1	4337	0.584985077381134	0.43356884	Yes	
row_13	TFPI	5088	0.5088838338851929	0.42539695	Yes	
row_14	CFH	5363	0.48497042059898376	0.43564108	Yes	
row_15	C3AR1	5633	0.4594191014766693	0.44495943	Yes	
row_16	SERPINA1	5714	0.45197051763534546	0.46168056	Yes	
row_17	C9	5970	0.43452197313308716	0.47047028	Yes	
row_18	CR2	6380	0.4028979241847992	0.4715607	Yes	
row_19	C8G	6475	0.39699891209602356	0.48527724	Yes	
row_20	PLAT	6682	0.38202449679374695	0.4937493	Yes	
row_21	KNG1	6721	0.3804176151752472	0.50902337	Yes	
row_22	MASP1	6766	0.3781999945640564	0.5239539	Yes	
row_23	CD46	7678	0.3208753764629364	0.5008782	Yes	
row_24	F3	7755	0.3165159523487091	0.51177084	Yes	
row_25	THBD	7868	0.3106246888637543	0.52093	Yes	
row_26	C1QA	7946	0.306109219789505	0.53132135	Yes	
row_27	F8	8200	0.2930789887905121	0.5339358	Yes	
row_28	CD55	8435	0.2807234525680542	0.536781	Yes	
row_29	CFI	8462	0.27918103337287903	0.54806757	Yes	
row_30	VWF	8585	0.27129948139190674	0.55507797	Yes	
row_31	F10	9159	0.24064847826957703	0.5422814	No	
row_32	SERPINC1	9825	0.21197985112667084	0.5244527	No	
row_33	PROC	10384	0.18239982426166534	0.50969297	No	
row_34	C7	11048	0.15538427233695984	0.48944247	No	
row_35	KLKB1	12530	0.08214559406042099	0.43248644	No	
row_36	PLAUR	12789	0.07209189981222153	0.42512044	No	
row_37	PLG	13195	0.05205545201897621	0.41085407	No	
row_38	SERPINF2	13467	0.03880498558282852	0.40148368	No	
row_39	C1R	13764	0.025775836780667305	0.39051414	No	
row_40	C1QB	14045	0.01225003506988287	0.37960082	No	
row_41	F2	14631	0.0	0.3556676	No	
row_42	CFD	16994	-0.040084194391965866	0.26080784	No	
row_43	C2	17052	-0.04314117506146431	0.26038435	No	
row_44	CLU	17390	-0.06293889880180359	0.24938142	No	
row_45	SERPING1	18358	-0.12468816339969635	0.21533589	No	
row_46	PROS1	18591	-0.1400185078382492	0.21203849	No	
row_47	CPB2	19996	-0.2595943212509155	0.16608253	No	
row_48	F7	21132	-0.4017820358276367	0.1374218	No	
