NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARRB1	373	1.5897223949432373	0.04252785	Yes	
row_1	ACKR3	375	1.5890482664108276	0.100254014	Yes	
row_2	CAV3	414	1.5459543466567993	0.15489948	Yes	
row_3	PICALM	515	1.4668351411819458	0.20413156	Yes	
row_4	SNCA	834	1.2872004508972168	0.23791243	Yes	
row_5	RALA	1024	1.2053871154785156	0.273998	Yes	
row_6	ARR3	1199	1.1491804122924805	0.3086541	Yes	
row_7	GRK3	1553	1.042601466178894	0.33211076	Yes	
row_8	SYK	1571	1.0388466119766235	0.36918056	Yes	
row_9	CLTC	1727	0.9963905215263367	0.39905974	Yes	
row_10	HGS	1796	0.9779853820800781	0.43183005	Yes	
row_11	DRD3	2235	0.8783661127090454	0.44583786	Yes	
row_12	AP2S1	2421	0.841555118560791	0.46886066	Yes	
row_13	SAG	2892	0.7679183483123779	0.47754386	Yes	
row_14	RALB	2909	0.7651515603065491	0.5047049	Yes	
row_15	SCYL2	2950	0.7581788301467896	0.5306303	Yes	
row_16	CD36	3183	0.723617672920227	0.5474423	Yes	
row_17	FCER1G	3335	0.7024010419845581	0.56679773	Yes	
row_18	LMBRD1	4018	0.6076236963272095	0.56097835	No	
row_19	NEDD4	5387	0.483063668012619	0.52255857	No	
row_20	ITGB1	5754	0.44909918308258057	0.52390754	No	
row_21	CXCR1	6478	0.3965079188346863	0.5087356	No	
row_22	ENTREP1	7005	0.36093026399612427	0.5003319	No	
row_23	CD81	7711	0.3191329538822174	0.4830837	No	
row_24	ITCH	8102	0.29832538962364197	0.47796938	No	
row_25	LRP1	8908	0.2538336515426636	0.4542552	No	
row_26	RAMP3	9751	0.21558259427547455	0.42763638	No	
row_27	AP2B1	10306	0.1870117485523224	0.41176432	No	
row_28	CXCL8	11198	0.14765921235084534	0.3806711	No	
row_29	ITGB2	11230	0.1460021436214447	0.3847102	No	
row_30	CEACAM1	12393	0.08914102613925934	0.34039992	No	
row_31	RAB31	12468	0.08609131723642349	0.34050143	No	
row_32	ARRB2	12833	0.06960564851760864	0.32813638	No	
row_33	SNX1	12949	0.06423021107912064	0.32576537	No	
row_34	RAMP1	13018	0.060948487371206284	0.32519838	No	
row_35	AP2A1	14118	0.008373938500881195	0.28053004	No	
row_36	AP2A2	14159	0.006631081458181143	0.2791342	No	
row_37	CAV1	16207	-0.0032420363277196884	0.19548565	No	
row_38	CALCRL	16688	-0.02457437291741371	0.17673667	No	
row_39	LILRB4	16769	-0.028109993785619736	0.17448483	No	
row_40	RAMP2	17600	-0.07406444847583771	0.14321244	No	
row_41	AP2M1	17658	-0.07789076864719391	0.14371149	No	
row_42	NEDD4L	17891	-0.0921785905957222	0.13756868	No	
row_43	GRK2	17999	-0.09890537708997726	0.13678561	No	
row_44	GRK4	18386	-0.12666283547878265	0.1255945	No	
row_45	GRB2	18967	-0.1664012372493744	0.10790922	No	
row_46	GTF2H2	19080	-0.17306852340698242	0.109617606	No	
row_47	DNM2	19336	-0.19368495047092438	0.10622369	No	
row_48	LDLRAP1	19434	-0.2038300335407257	0.10966419	No	
row_49	ADM	19980	-0.25856563448905945	0.096761644	No	
row_50	LILRB1	20459	-0.31260958313941956	0.08856552	No	
row_51	CXCR2	20932	-0.3732755184173584	0.082820326	No	
row_52	RAB5A	21156	-0.4052818715572357	0.08842813	No	
row_53	TFRC	22062	-0.5202621817588806	0.07030736	No	
row_54	CD9	23157	-0.7991102933883667	0.05458944	No	
