NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGKV1-12	675	1.3564656972885132	0.012522236	No	
row_1	IGLV1-47	3099	0.735606849193573	-0.06489848	No	
row_2	IGHM	3242	0.7146958112716675	-0.04955415	No	
row_3	IGLV1-40	3923	0.6213129758834839	-0.059000026	No	
row_4	IGHV7-81	4605	0.5544938445091248	-0.070464954	No	
row_5	IGLC7	5166	0.5034724473953247	-0.07848658	No	
row_6	IGKV2D-40	5494	0.47340384125709534	-0.077859335	No	
row_7	IGLV3-27	5578	0.4644708037376404	-0.067507185	No	
row_8	IGHV3-53	5975	0.4337451756000519	-0.070878856	No	
row_9	IGHD	6538	0.3930938243865967	-0.08225	No	
row_10	IGKV2-28	6897	0.36893874406814575	-0.085984476	No	
row_11	IGKV1D-33	7794	0.3146764039993286	-0.11335104	No	
row_12	LYN	8410	0.2822667360305786	-0.13017292	No	
row_13	IGLV1-51	8655	0.2678830921649933	-0.13223189	No	
row_14	CD79B	8698	0.26568862795829773	-0.12608594	No	
row_15	IGHV3-13	10350	0.18492373824119568	-0.18820338	No	
row_16	IGHV3-11	10626	0.16809648275375366	-0.19448556	No	
row_17	IGKV1D-16	10884	0.1630408763885498	-0.20018047	No	
row_18	IGLV7-43	11820	0.11547692120075226	-0.23504078	No	
row_19	IGKV2D-30	14163	0.006429354194551706	-0.3307319	No	
row_20	CD22	14268	0.001614130800589919	-0.33494186	No	
row_21	IGKV1D-12	16467	-0.015666978433728218	-0.42446417	No	
row_22	IGKV1-39	16859	-0.032630596309900284	-0.4395057	No	
row_23	IGHV1-2	17884	-0.09189750254154205	-0.4787077	No	
row_24	IGLV2-23	18116	-0.10627379268407822	-0.48501873	No	
row_25	IGLV2-8	18282	-0.11824692785739899	-0.48827323	No	
row_26	IGHV4-59	18740	-0.14904142916202545	-0.5025706	No	
row_27	IGLV1-44	19116	-0.1769351065158844	-0.5126851	No	
row_28	IGKV3-11	19269	-0.18883244693279266	-0.5133178	No	
row_29	IGKV2D-28	19415	-0.20165406167507172	-0.5132844	No	
row_30	IGKV1-16	19679	-0.2300914227962494	-0.51724	Yes	
row_31	IGKV1-33	19844	-0.2459719479084015	-0.5166724	Yes	
row_32	IGHV3-48	19907	-0.2508547306060791	-0.5117844	Yes	
row_33	IGKV3D-20	19935	-0.25442537665367126	-0.50535774	Yes	
row_34	IGKV1D-39	20052	-0.26594245433807373	-0.50223386	Yes	
row_35	IGLV2-11	20054	-0.2661023437976837	-0.4943971	Yes	
row_36	IGKV2-30	20080	-0.269619882106781	-0.4874388	Yes	
row_37	IGKV1-17	20341	-0.2977958917617798	-0.48926726	Yes	
row_38	IGLV3-21	20372	-0.30152183771133423	-0.48156923	Yes	
row_39	IGKV3-15	20502	-0.3183193802833557	-0.47742698	Yes	
row_40	IGLC2	20547	-0.3238026201725006	-0.46964252	Yes	
row_41	IGKV5-2	21013	-0.3849262297153473	-0.47728428	Yes	
row_42	IGHV1-46	21161	-0.4068334698677063	-0.47125858	Yes	
row_43	IGHV4-39	21487	-0.4286375641822815	-0.4718747	Yes	
row_44	IGKC	21610	-0.4437035918235779	-0.463734	Yes	
row_45	IGHV2-5	21633	-0.44687747955322266	-0.45140535	Yes	
row_46	IGHV4-34	21999	-0.5088275074958801	-0.45128515	Yes	
row_47	IGHV2-70	22258	-0.5624294877052307	-0.44519755	Yes	
row_48	IGHV3-23	22598	-0.6312699317932129	-0.4403881	Yes	
row_49	IGLC3	22789	-0.6957378387451172	-0.42757013	Yes	
row_50	IGHV1-69	22930	-0.7287298440933228	-0.41172847	Yes	
row_51	IGLV3-25	22971	-0.7434554696083069	-0.39135686	Yes	
row_52	IGLC1	23052	-0.766440749168396	-0.37194237	Yes	
row_53	IGHV3-30	23089	-0.7801766991615295	-0.35031992	Yes	
row_54	IGKV1-5	23100	-0.7822547554969788	-0.3275715	Yes	
row_55	CD79A	23308	-0.856694757938385	-0.31068453	Yes	
row_56	PTPN6	23341	-0.8721843361854553	-0.28617454	Yes	
row_57	IGHV3-33	23442	-0.8910840153694153	-0.26388893	Yes	
row_58	IGKV2-29	23529	-0.9370415806770325	-0.23966964	Yes	
row_59	IGKV4-1	23717	-1.0287742614746094	-0.21686965	Yes	
row_60	IGLV3-19	23721	-1.0303601026535034	-0.18648975	Yes	
row_61	IGHV3-7	23903	-1.137729287147522	-0.16021863	Yes	
row_62	IGLV2-14	24018	-1.226701259613037	-0.12857059	Yes	
row_63	IGLC6	24192	-1.368514895439148	-0.09513978	Yes	
row_64	IGKV3-20	24328	-1.6126948595046997	-0.052924555	Yes	
row_65	IGLV6-57	24434	-2.011789560317993	0.00233364	Yes	
