NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX11	1291	1.1188350915908813	-0.031657673	No	
row_1	EXOSC8	1357	1.101318359375	-0.013402177	No	
row_2	MBTPS2	1652	1.0124226808547974	-0.00622049	No	
row_3	EXOSC1	2315	0.8642250299453735	-0.01693577	No	
row_4	ATF6B	2477	0.8347542881965637	-0.0076780566	No	
row_5	ADD1	2610	0.8121533393859863	0.0023388793	No	
row_6	HDGF	3603	0.6643128991127014	-0.0256983	No	
row_7	CREB3L4	4641	0.5511223673820496	-0.057729788	No	
row_8	KHSRP	4691	0.5461079478263855	-0.049364716	No	
row_9	MBTPS1	5285	0.4933597445487976	-0.06429668	No	
row_10	EXOSC3	5550	0.4676114022731781	-0.06623412	No	
row_11	SHC1	5555	0.46727433800697327	-0.057522222	No	
row_12	SSR1	5791	0.4466395974159241	-0.058669496	No	
row_13	CREBRF	6084	0.42570561170578003	-0.06255047	No	
row_14	ATF6	6113	0.42369019985198975	-0.055650063	No	
row_15	EXTL1	6402	0.4014955461025238	-0.059826974	No	
row_16	SULT1A3	6637	0.38623520731925964	-0.062080637	No	
row_17	KLHDC3	7308	0.34464049339294434	-0.08299324	No	
row_18	DCP2	7387	0.33974483609199524	-0.079736546	No	
row_19	CREB3L3	8286	0.28916439414024353	-0.11104717	No	
row_20	CCL2	8895	0.2544826865196228	-0.13113134	No	
row_21	EXTL2	9084	0.2455974668264389	-0.13417116	No	
row_22	ACADVL	9608	0.2243848294019699	-0.1513434	No	
row_23	GOSR2	9948	0.20635628700256348	-0.16131714	No	
row_24	CXCL8	11198	0.14765921235084534	-0.20970088	No	
row_25	TLN1	11346	0.14017237722873688	-0.21306291	No	
row_26	EXTL3	11872	0.11236532777547836	-0.23244494	No	
row_27	CTDSP2	12213	0.09714920818805695	-0.24453403	No	
row_28	ARFGAP1	12381	0.08948129415512085	-0.24967861	No	
row_29	TSPYL2	12707	0.0760035365819931	-0.2615546	No	
row_30	CUL7	12794	0.07191333174705505	-0.2637132	No	
row_31	EIF2AK3	13581	0.03425225615501404	-0.2952757	No	
row_32	CALR	13947	0.0164133682847023	-0.30992293	No	
row_33	DCSTAMP	13981	0.015015842393040657	-0.31099018	No	
row_34	TPP1	16334	-0.009771243669092655	-0.407198	No	
row_35	GSK3A	16733	-0.02630368247628212	-0.42300984	No	
row_36	CREB3	16900	-0.03491221368312836	-0.42915	No	
row_37	CEBPB	17189	-0.050879836082458496	-0.4399868	No	
row_38	EXOSC7	17297	-0.0575517937541008	-0.44327885	No	
row_39	DIS3	17516	-0.06910425424575806	-0.45090064	No	
row_40	TATDN2	17581	-0.07290508598089218	-0.45213878	No	
row_41	CREB3L1	17589	-0.0732419416308403	-0.45103446	No	
row_42	FKBP14	17718	-0.08144063502550125	-0.4547334	No	
row_43	EIF2S1	17772	-0.0841924250125885	-0.4553063	No	
row_44	NFYC	17861	-0.09030072391033173	-0.4571976	No	
row_45	ATF3	18199	-0.11247441917657852	-0.46887264	No	
row_46	NFYA	18653	-0.14378148317337036	-0.4847071	No	
row_47	ERN1	19026	-0.1693732887506485	-0.49673575	No	
row_48	WFS1	19094	-0.17437784373760223	-0.4961694	No	
row_49	ZBTB17	19149	-0.17914403975009918	-0.49497968	No	
row_50	CEBPG	19370	-0.19623816013336182	-0.5002685	No	
row_51	EXOSC6	19667	-0.22836466133594513	-0.50806195	No	
row_52	EXOSC2	19744	-0.23749645054340363	-0.50666547	No	
row_53	SEC31A	19909	-0.2514670789241791	-0.5086102	No	
row_54	EXOSC4	20068	-0.2678235173225403	-0.5099983	No	
row_55	EIF2S3	20208	-0.28320837020874023	-0.51031554	No	
row_56	ATP6V0D1	20770	-0.35402318835258484	-0.52658266	Yes	
row_57	MYDGF	20833	-0.36321383714675903	-0.5222244	Yes	
row_58	EXOSC9	21004	-0.38366392254829407	-0.521904	Yes	
row_59	PARN	21115	-0.3982700705528259	-0.5188471	Yes	
row_60	DNAJC3	21152	-0.404924213886261	-0.512631	Yes	
row_61	EIF2S2	21423	-0.41814422607421875	-0.515754	Yes	
row_62	EXOSC5	21470	-0.4270796477794647	-0.5095269	Yes	
row_63	EDEM1	21636	-0.44735655188560486	-0.5077917	Yes	
row_64	PPP2R5B	21757	-0.46812132000923157	-0.5038178	Yes	
row_65	YIF1A	21988	-0.5062798857688904	-0.5036273	Yes	
row_66	ATF4	22064	-0.5210166573524475	-0.49680442	Yes	
row_67	SYVN1	22140	-0.5395083427429199	-0.48963028	Yes	
row_68	LMNA	22150	-0.5403240323066711	-0.47973573	Yes	
row_69	SRPRA	22190	-0.5487260818481445	-0.4709111	Yes	
row_70	PLA2G4B	22348	-0.5819857716560364	-0.46629077	Yes	
row_71	CXXC1	22937	-0.7304105162620544	-0.47651505	Yes	
row_72	NFYB	23198	-0.8133043646812439	-0.47172216	Yes	
row_73	PDIA5	23203	-0.8175115585327148	-0.45635754	Yes	
row_74	DCTN1	23207	-0.8189879655838013	-0.4409239	Yes	
row_75	PREB	23581	-0.9580062031745911	-0.43801355	Yes	
row_76	DDIT3	23630	-0.9800456762313843	-0.42136487	Yes	
row_77	KDELR3	23631	-0.9810169339179993	-0.40273055	Yes	
row_78	DNAJB9	23793	-1.0715878009796143	-0.38897422	Yes	
row_79	SERP1	24024	-1.2309986352920532	-0.37501776	Yes	
row_80	HSP90B1	24073	-1.2474273443222046	-0.3532902	Yes	
row_81	HYOU1	24132	-1.3026032447814941	-0.33092445	Yes	
row_82	WIPI1	24139	-1.3098188638687134	-0.30629048	Yes	
row_83	ASNS	24187	-1.3648662567138672	-0.2822912	Yes	
row_84	IGFBP1	24314	-1.5832865238189697	-0.25738075	Yes	
row_85	PDIA6	24349	-1.6722335815429688	-0.2270103	Yes	
row_86	DNAJB11	24360	-1.7045469284057617	-0.19504243	Yes	
row_87	SRPRB	24406	-1.8915725946426392	-0.16095646	Yes	
row_88	HERPUD1	24423	-1.9617340564727783	-0.12434926	Yes	
row_89	GFPT1	24450	-2.1092684268951416	-0.085349485	Yes	
row_90	CREB3L2	24453	-2.1142945289611816	-0.04527064	Yes	
row_91	HSPA5	24475	-2.4631431102752686	6.558609E-4	Yes	
