NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEIKIN	37	2.5246479511260986	0.10738015	Yes	
row_1	DNMT3L	641	1.3744089603424072	0.1420007	Yes	
row_2	MEIOB	1017	1.2086890935897827	0.17879781	Yes	
row_3	ZNF541	1119	1.170926809310913	0.22517179	Yes	
row_4	MYBL1	1190	1.1527440547943115	0.27202928	Yes	
row_5	FOXJ2	1222	1.1424810886383057	0.3200391	Yes	
row_6	TDRD9	1664	1.009024739265442	0.3455251	Yes	
row_7	SPDYA	1668	1.00821053981781	0.38888863	Yes	
row_8	TDRKH	1728	0.996214747428894	0.42944455	Yes	
row_9	TDRD12	1733	0.9950222969055176	0.47219834	Yes	
row_10	CATSPERZ	1983	0.9348875880241394	0.50233877	Yes	
row_11	UBR2	2600	0.8138670921325684	0.51225036	Yes	
row_12	ASZ1	3043	0.743636429309845	0.5262487	Yes	
row_13	DDX4	3383	0.6952047944068909	0.54237044	Yes	
row_14	FIGNL1	4229	0.5973892211914062	0.5335796	Yes	
row_15	FOXJ3	4501	0.567099928855896	0.54695684	Yes	
row_16	TEX19	5500	0.47271233797073364	0.5265312	No	
row_17	TESMIN	5612	0.4618595540523529	0.5419127	No	
row_18	TAF1L	7975	0.30420809984207153	0.4584364	No	
row_19	CCNA1	9039	0.24805621802806854	0.42566267	No	
row_20	SYCP3	10071	0.20018084347248077	0.39213264	No	
row_21	RPL10L	11511	0.13228629529476166	0.33898842	No	
row_22	RBM46	13818	0.02305150218307972	0.24567546	No	
row_23	BTBD18	14446	0.0	0.22003338	No	
row_24	SHCBP1L	15897	0.0	0.16073354	No	
row_25	SLC25A31	15909	0.0	0.16028367	No	
row_26	TEX15	16016	0.0	0.15594864	No	
row_27	CYP26B1	16927	-0.03625645115971565	0.12029669	No	
row_28	HSPA2	17923	-0.09462860226631165	0.08368625	No	
row_29	HSF2BP	18395	-0.1270214170217514	0.06990272	No	
row_30	TEX11	18507	-0.13498514890670776	0.0711854	No	
row_31	KCTD19	19880	-0.24862469732761383	0.025799172	No	
row_32	MEIOC	20076	-0.2689076066017151	0.029422909	No	
row_33	BRDT	20163	-0.2781165540218353	0.037901558	No	
row_34	ING2	20768	-0.35370534658432007	0.02845615	No	
row_35	M1AP	21507	-0.4309294819831848	0.016861454	No	
row_36	MOV10L1	21567	-0.4385877847671509	0.033365767	No	
row_37	MAEL	21955	-0.5008594393730164	0.03914195	No	
row_38	ZSCAN21	22553	-0.6208590269088745	0.041505713	No	
row_39	TEX14	23344	-0.8743038773536682	0.046908062	No	
