NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPP4	3646	0.658733069896698	-0.08818682	No	
row_1	TCF7L2	6021	0.42956313490867615	-0.1455478	No	
row_2	SEC11A	6059	0.42754101753234863	-0.107594654	No	
row_3	GNAT3	8966	0.25102826952934265	-0.20317572	No	
row_4	CDX2	10323	0.18632155656814575	-0.24138941	No	
row_5	GNG13	10366	0.18371957540512085	-0.22614707	No	
row_6	PCSK1	14205	0.004321068059653044	-0.3825869	No	
row_7	GCG	14690	0.0	-0.40236542	No	
row_8	LEP	14921	0.0	-0.4117643	No	
row_9	FFAR1	16351	-0.010673336684703827	-0.4691747	No	
row_10	PAX6	17545	-0.07058874517679214	-0.5114105	No	
row_11	GRP	17591	-0.07334046810865402	-0.5064795	No	
row_12	GPR119	20278	-0.2900941073894501	-0.5894643	No	
row_13	GNB1	20594	-0.33039817214012146	-0.5718385	No	
row_14	CTNNB1	22685	-0.6553758382797241	-0.5967498	Yes	
row_15	GNB3	23113	-0.7854591608047485	-0.54169536	Yes	
row_16	SPCS3	23190	-0.8097572922706604	-0.4700546	Yes	
row_17	FFAR4	23257	-0.8366491794586182	-0.39552286	Yes	
row_18	SPCS1	23831	-1.0931637287139893	-0.31803137	Yes	
row_19	SPCS2	24196	-1.3816046714782715	-0.20537394	Yes	
row_20	SEC11C	24467	-2.3550493717193604	9.807817E-4	Yes	
