NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGS2	3326	0.7031725645065308	-0.092714176	No	
row_1	UGT2B7	5332	0.4894157648086548	-0.14457792	No	
row_2	UGT1A9	5362	0.48516935110092163	-0.11594739	No	
row_3	CYP3A4	6491	0.3953041434288025	-0.13775343	No	
row_4	CYP2C19	6600	0.38918596506118774	-0.11825006	No	
row_5	CYP2C9	7690	0.3201355040073395	-0.14308167	No	
row_6	PDIA2	9370	0.2374846637248993	-0.19710468	No	
row_7	PTGS1	11136	0.15085668861865997	-0.259966	No	
row_8	UGT1A1	11385	0.13771629333496094	-0.26163802	No	
row_9	UGT1A10	11552	0.1302061378955841	-0.26042038	No	
row_10	CYP2C8	12221	0.09655319899320602	-0.28178662	No	
row_11	UGT2B4	16103	0.0	-0.44039547	No	
row_12	SLC22A8	18537	-0.13724222779273987	-0.5313933	No	
row_13	ERP29	20455	-0.31222641468048096	-0.5905497	No	
row_14	SDF2L1	21686	-0.45525258779525757	-0.6128402	No	
row_15	SLC22A6	22788	-0.695669949054718	-0.61508405	Yes	
row_16	PPIB	23277	-0.8449732661247253	-0.5831005	Yes	
row_17	HSP90B1	24073	-1.2474273443222046	-0.5389309	Yes	
row_18	HYOU1	24132	-1.3026032447814941	-0.46125075	Yes	
row_19	PDIA6	24349	-1.6722335815429688	-0.36731243	Yes	
row_20	DNAJB11	24360	-1.7045469284057617	-0.2629695	Yes	
row_21	PDIA4	24410	-1.9017527103424072	-0.1481013	Yes	
row_22	HSPA5	24475	-2.4631431102752686	6.536994E-4	Yes	
