NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LBP	352	1.6210194826126099	0.06831464	Yes	
row_1	IFNGR1	410	1.5492769479751587	0.14503364	Yes	
row_2	SNCA	834	1.2872004508972168	0.19341177	Yes	
row_3	IL4	1520	1.050790548324585	0.219012	Yes	
row_4	TYROBP	1530	1.0492596626281738	0.27218127	Yes	
row_5	SYK	1571	1.0388466119766235	0.3235514	Yes	
row_6	DYSF	1994	0.9323171377182007	0.35386285	Yes	
row_7	AGER	2169	0.8938829302787781	0.392356	Yes	
row_8	APP	3149	0.7297414541244507	0.389551	Yes	
row_9	SBNO2	3283	0.7090308666229248	0.4202891	Yes	
row_10	C5AR1	3980	0.6123743057250977	0.42306978	Yes	
row_11	CX3CR1	4384	0.5788357257843018	0.4361223	Yes	
row_12	AIF1	4522	0.5639511346817017	0.45929426	Yes	
row_13	EDN2	4527	0.5631453394889832	0.48786455	Yes	
row_14	CRTC3	4807	0.5363282561302185	0.5038195	Yes	
row_15	NMI	5013	0.5168904066085815	0.5218092	Yes	
row_16	CD93	6555	0.3921430706977844	0.4787939	Yes	
row_17	SLC11A1	6764	0.3783288598060608	0.48959088	Yes	
row_18	MAPT	6817	0.3744536340236664	0.5065703	Yes	
row_19	TLR1	6847	0.3723244071006775	0.5243817	Yes	
row_20	ITGAM	6938	0.36545923352241516	0.539348	Yes	
row_21	TLR4	7017	0.3602279722690582	0.55453825	Yes	
row_22	C1QA	7946	0.306109219789505	0.5322037	No	
row_23	FCER2	8611	0.26998209953308105	0.51882285	No	
row_24	JAK2	8841	0.2576972544193268	0.5226059	No	
row_25	FCGR3A	9107	0.24396662414073944	0.52421606	No	
row_26	TMEM106A	10413	0.18058492243289948	0.48005816	No	
row_27	IL13	10665	0.16615822911262512	0.47827077	No	
row_28	IFI35	11036	0.15605531632900238	0.47110102	No	
row_29	TNF	11212	0.14673039317131042	0.4714306	No	
row_30	ITGB2	11230	0.1460021436214447	0.47818494	No	
row_31	IL1RAP	12083	0.10380909591913223	0.4486365	No	
row_32	FPR2	12380	0.08965639024972916	0.44110528	No	
row_33	CX3CL1	14236	0.0029229007195681334	0.3653884	No	
row_34	TREM2	16411	-0.013079900294542313	0.27714327	No	
row_35	GRN	16741	-0.026601657271385193	0.2650451	No	
row_36	CLU	17390	-0.06293889880180359	0.24175452	No	
row_37	IFNG	18117	-0.10667969286441803	0.2175057	No	
row_38	PLCG2	19148	-0.17911414802074432	0.18451974	No	
row_39	AZU1	19650	-0.2266189306974411	0.17559277	No	
row_40	FOXP1	21566	-0.43810850381851196	0.11962687	No	
