NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGKV1-12	675	1.3564656972885132	0.0101893	No	
row_1	C1QC	1856	0.9628303647041321	-0.011275774	No	
row_2	IGLV1-47	3099	0.735606849193573	-0.041615922	No	
row_3	IGLV1-40	3923	0.6213129758834839	-0.057987377	No	
row_4	IGHV7-81	4605	0.5544938445091248	-0.070407994	No	
row_5	IGLC7	5166	0.5034724473953247	-0.07929708	No	
row_6	IGKV2D-40	5494	0.47340384125709534	-0.07948449	No	
row_7	IGLV3-27	5578	0.4644708037376404	-0.06993043	No	
row_8	IGHV3-53	5975	0.4337451756000519	-0.07404898	No	
row_9	IGKV2-28	6897	0.36893874406814575	-0.1014709	No	
row_10	IGKV1D-33	7794	0.3146764039993286	-0.12938239	No	
row_11	C1QA	7946	0.306109219789505	-0.12702875	No	
row_12	IGLV1-51	8655	0.2678830921649933	-0.14854747	No	
row_13	IGHV3-13	10350	0.18492373824119568	-0.21275143	No	
row_14	IGHV3-11	10626	0.16809648275375366	-0.21932368	No	
row_15	IGKV1D-16	10884	0.1630408763885498	-0.2252999	No	
row_16	IGLV7-43	11820	0.11547692120075226	-0.26036322	No	
row_17	C1S	11901	0.11109297722578049	-0.2605408	No	
row_18	C1R	13764	0.025775836780667305	-0.33606163	No	
row_19	C1QB	14045	0.01225003506988287	-0.34718463	No	
row_20	IGKV2D-30	14163	0.006429354194551706	-0.35179588	No	
row_21	IGKV1D-12	16467	-0.015666978433728218	-0.44565535	No	
row_22	IGKV1-39	16859	-0.032630596309900284	-0.4607549	No	
row_23	IGHV1-2	17884	-0.09189750254154205	-0.50011986	No	
row_24	IGLV2-23	18116	-0.10627379268407822	-0.50661457	No	
row_25	IGLV2-8	18282	-0.11824692785739899	-0.510073	No	
row_26	IGHV4-59	18740	-0.14904142916202545	-0.52462864	No	
row_27	IGLV1-44	19116	-0.1769351065158844	-0.5350489	No	
row_28	IGKV3-11	19269	-0.18883244693279266	-0.5360066	No	
row_29	IGKV2D-28	19415	-0.20165406167507172	-0.5363202	Yes	
row_30	CRP	19526	-0.21350125968456268	-0.5348703	Yes	
row_31	IGKV1-16	19679	-0.2300914227962494	-0.5346775	Yes	
row_32	IGKV1-33	19844	-0.2459719479084015	-0.5345332	Yes	
row_33	IGHV3-48	19907	-0.2508547306060791	-0.5300763	Yes	
row_34	IGKV3D-20	19935	-0.25442537665367126	-0.5240868	Yes	
row_35	IGKV1D-39	20052	-0.26594245433807373	-0.5214202	Yes	
row_36	IGLV2-11	20054	-0.2661023437976837	-0.5140404	Yes	
row_37	IGKV2-30	20080	-0.269619882106781	-0.5075453	Yes	
row_38	IGKV1-17	20341	-0.2977958917617798	-0.5098865	Yes	
row_39	IGLV3-21	20372	-0.30152183771133423	-0.5027064	Yes	
row_40	IGKV3-15	20502	-0.3183193802833557	-0.49911147	Yes	
row_41	IGLC2	20547	-0.3238026201725006	-0.4918833	Yes	
row_42	IGKV5-2	21013	-0.3849262297153473	-0.50018847	Yes	
row_43	IGHG1	21020	-0.3860102593898773	-0.48966965	Yes	
row_44	IGHV1-46	21161	-0.4068334698677063	-0.48405674	Yes	
row_45	IGHV4-39	21487	-0.4286375641822815	-0.48541066	Yes	
row_46	IGKC	21610	-0.4437035918235779	-0.47803256	Yes	
row_47	IGHV2-5	21633	-0.44687747955322266	-0.46647146	Yes	
row_48	IGHV4-34	21999	-0.5088275074958801	-0.46722695	Yes	
row_49	IGHV2-70	22258	-0.5624294877052307	-0.46210653	Yes	
row_50	IGHV3-23	22598	-0.6312699317932129	-0.45838293	Yes	
row_51	IGHG3	22603	-0.6321802735328674	-0.44091737	Yes	
row_52	IGLC3	22789	-0.6957378387451172	-0.42909044	Yes	
row_53	IGHV1-69	22930	-0.7287298440933228	-0.41450098	Yes	
row_54	IGLV3-25	22971	-0.7434554696083069	-0.39540634	Yes	
row_55	IGLC1	23052	-0.766440749168396	-0.37730855	Yes	
row_56	IGHV3-30	23089	-0.7801766991615295	-0.3570261	Yes	
row_57	IGKV1-5	23100	-0.7822547554969788	-0.33562115	Yes	
row_58	IGHG2	23186	-0.8085802793502808	-0.31655294	Yes	
row_59	IGHV3-33	23442	-0.8910840153694153	-0.30214465	Yes	
row_60	IGKV2-29	23529	-0.9370415806770325	-0.27953503	Yes	
row_61	IGKV4-1	23717	-1.0287742614746094	-0.25850275	Yes	
row_62	IGLV3-19	23721	-1.0303601026535034	-0.22989239	Yes	
row_63	IGHV3-7	23903	-1.137729287147522	-0.20557606	Yes	
row_64	IGLV2-14	24018	-1.226701259613037	-0.1760353	Yes	
row_65	IGLC6	24192	-1.368514895439148	-0.14495559	Yes	
row_66	IGKV3-20	24328	-1.6126948595046997	-0.10551064	Yes	
row_67	IGHG4	24432	-2.008164644241333	-0.05372714	Yes	
row_68	IGLV6-57	24434	-2.011789560317993	0.0023338334	Yes	
