NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2B6	4564	0.5587310194969177	-0.14694089	No	
row_1	UGT1A9	5362	0.48516935110092163	-0.14518005	No	
row_2	CYP3A4	6491	0.3953041434288025	-0.16330017	No	
row_3	CYP2C9	7690	0.3201355040073395	-0.18959805	No	
row_4	PDIA2	9370	0.2374846637248993	-0.24139498	No	
row_5	UGT1A1	11385	0.13771629333496094	-0.31393692	No	
row_6	CYP2C8	12221	0.09655319899320602	-0.3412213	No	
row_7	ERP29	20455	-0.31222641468048096	-0.65550315	No	
row_8	SDF2L1	21686	-0.45525258779525757	-0.67354953	No	
row_9	PPIB	23277	-0.8449732661247253	-0.6787334	Yes	
row_10	HSP90B1	24073	-1.2474273443222046	-0.62296486	Yes	
row_11	HYOU1	24132	-1.3026032447814941	-0.53318167	Yes	
row_12	PDIA6	24349	-1.6722335815429688	-0.42370433	Yes	
row_13	DNAJB11	24360	-1.7045469284057617	-0.30352452	Yes	
row_14	PDIA4	24410	-1.9017527103424072	-0.17098677	Yes	
row_15	HSPA5	24475	-2.4631431102752686	6.5376604E-4	Yes	
