NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRAC	130	2.0351974964141846	0.11034314	Yes	
row_1	HLA-DRB5	374	1.5893957614898682	0.19073091	Yes	
row_2	TRAV29DV5	1245	1.1343529224395752	0.21961996	Yes	
row_3	FYB1	1574	1.0381449460983276	0.2652047	Yes	
row_4	TRAV8-4	2072	0.915989100933075	0.29693675	Yes	
row_5	WAS	2567	0.8182587027549744	0.32323754	Yes	
row_6	GRAP2	2979	0.753191351890564	0.34923455	Yes	
row_7	CD3E	3414	0.6906514763832092	0.370737	Yes	
row_8	HLA-DRB1	3481	0.6819107532501221	0.4067907	Yes	
row_9	TRBC1	3851	0.6310272812843323	0.42756268	Yes	
row_10	HLA-DRA	4702	0.5453381538391113	0.42379618	Yes	
row_11	HLA-DQA1	4961	0.5220373272895813	0.44291326	Yes	
row_12	TRAV19	5014	0.5166987776756287	0.4701506	Yes	
row_13	LCP2	5300	0.4920634329319	0.48646018	Yes	
row_14	HLA-DQB1	5344	0.4866907298564911	0.5123602	Yes	
row_15	ITK	5426	0.47856786847114563	0.5362447	Yes	
row_16	CD101	5711	0.4521222412586212	0.5503254	Yes	
row_17	CD4	6290	0.410113662481308	0.5499966	Yes	
row_18	HLA-DQB2	6561	0.39173993468284607	0.56121826	Yes	
row_19	NCK1	6885	0.36969709396362305	0.56902003	Yes	
row_20	CD3D	7293	0.3457622826099396	0.57202667	Yes	
row_21	TRBV7-9	7592	0.32714447379112244	0.57843244	Yes	
row_22	VASP	8610	0.27016812562942505	0.5521993	No	
row_23	ENAH	8715	0.26452481746673584	0.5629794	No	
row_24	LCK	10455	0.17815633118152618	0.5019937	No	
row_25	PLCG1	11165	0.14959147572517395	0.4815029	No	
row_26	HLA-DPA1	11596	0.12790930271148682	0.47118858	No	
row_27	ZAP70	11821	0.11535218358039856	0.46858427	No	
row_28	TRBV12-3	12772	0.07286501675844193	0.4338783	No	
row_29	EVL	12856	0.06866393983364105	0.43438643	No	
row_30	HLA-DPB1	13283	0.04726904630661011	0.41965294	No	
row_31	PAK2	17171	-0.0499257892370224	0.2635452	No	
row_32	PAK1	17709	-0.08092061430215836	0.24618517	No	
row_33	CD3G	17750	-0.08284617215394974	0.24925761	No	
row_34	LAT	18062	-0.10281012952327728	0.242383	No	
row_35	PLCG2	19148	-0.17911414802074432	0.20819475	No	
row_36	PAK3	19162	-0.1803169548511505	0.21791047	No	
