NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRIN2A	32	2.6186025142669678	0.1918749	Yes	
row_1	GRIA1	246	1.7600367069244385	0.31301388	Yes	
row_2	DLG4	623	1.3848921060562134	0.399816	Yes	
row_3	GRIN2B	1157	1.161495566368103	0.46372145	Yes	
row_4	CAMK2D	2021	0.9261461496353149	0.49677855	Yes	
row_5	DLG3	3958	0.6154993772506714	0.4630686	Yes	
row_6	GRIN1	4041	0.6060764789581299	0.50442976	Yes	
row_7	DLG2	4090	0.6017452478408813	0.5468608	Yes	
row_8	GRIN2C	4113	0.6016470789909363	0.5903472	Yes	
row_9	LRRC7	5147	0.5051738023757935	0.5854005	Yes	
row_10	NRGN	5213	0.49986952543258667	0.61962116	Yes	
row_11	CAMK2G	6168	0.41898003220558167	0.61154413	No	
row_12	CAMK2B	9393	0.2361922562122345	0.49721563	No	
row_13	NEFL	10089	0.19939154386520386	0.48352325	No	
row_14	CAMK2A	10478	0.17649899423122406	0.480688	No	
row_15	NRG1	11277	0.14353840053081512	0.4586659	No	
row_16	GRIN2D	11652	0.12466970086097717	0.45257917	No	
row_17	ACTN2	11877	0.11224022507667542	0.45170543	No	
row_18	SRC	14242	0.0025834341067820787	0.35528794	No	
row_19	CALM1	18667	-0.1451779007911682	0.18520537	No	
row_20	DLG1	20379	-0.3019244372844696	0.13755694	No	
row_21	GRIA2	21318	-0.4126809537410736	0.12966907	No	
