NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR1	111	2.1018733978271484	0.16854309	Yes	
row_1	PLA2G7	403	1.5559041500091553	0.28477365	Yes	
row_2	CCL1	420	1.5419902801513672	0.4110949	Yes	
row_3	CCR2	474	1.4969145059585571	0.5321926	Yes	
row_4	CXCL12	1938	0.9428681135177612	0.5500552	Yes	
row_5	S100A7	2636	0.8066070079803467	0.587996	Yes	
row_6	MOSPD2	3672	0.6549090147018433	0.5996346	Yes	
row_7	AIF1	4522	0.5639511346817017	0.6113832	Yes	
row_8	CCL5	4541	0.5614780783653259	0.6568826	Yes	
row_9	SERPINE1	5323	0.49010226130485535	0.66532856	Yes	
row_10	CXCL10	6440	0.39904266595840454	0.6525883	No	
row_11	ANO6	7329	0.3432384133338928	0.6445688	No	
row_12	S100A14	8319	0.2875714898109436	0.6278386	No	
row_13	HMGB1	11361	0.13947682082653046	0.51506954	No	
row_14	LGMN	11478	0.13354936242103577	0.5213269	No	
row_15	FPR2	12380	0.08965639024972916	0.49189508	No	
row_16	CXCL17	14556	0.0	0.40302527	No	
row_17	CREB3	16900	-0.03491221368312836	0.31016585	No	
