NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFBR1	3116	0.7338873147964478	-0.054464027	No	
row_1	SMAD4	7677	0.3210313022136688	-0.208936	No	
row_2	JAG2	11831	0.1147889643907547	-0.3672554	No	
row_3	POU4F1	13714	0.02796432189643383	-0.441389	No	
row_4	FOXN4	14669	0.0	-0.48037553	No	
row_5	POU3F2	15798	0.0	-0.5264728	No	
row_6	ASCL1	16200	-0.002752594416961074	-0.54258686	No	
row_7	ISL1	16509	-0.017175687476992607	-0.55346817	No	
row_8	MNX1	17456	-0.06672044843435287	-0.5855023	No	
row_9	PAX6	17545	-0.07058874517679214	-0.58208907	No	
row_10	ATOH1	18991	-0.16776670515537262	-0.6244816	No	
row_11	MYT1L	19708	-0.2330661565065384	-0.63059825	Yes	
row_12	ATOH7	20387	-0.30274131894111633	-0.6282432	Yes	
row_13	DLL1	20701	-0.34530922770500183	-0.60674495	Yes	
row_14	SHH	21006	-0.38383641839027405	-0.581053	Yes	
row_15	ID2	21477	-0.4276633560657501	-0.55779296	Yes	
row_16	TBR1	22043	-0.5165977478027344	-0.5295839	Yes	
row_17	PRDM12	22498	-0.6102025508880615	-0.48754364	Yes	
row_18	EPOP	23843	-1.1005758047103882	-0.43318003	Yes	
row_19	LMO4	24116	-1.2892216444015503	-0.316275	Yes	
row_20	ISL2	24334	-1.6287157535552979	-0.16341028	Yes	
row_21	DLL4	24362	-1.7098091840744019	0.005271687	Yes	
