NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FEMALE MEIOTIC NUCLEAR DIVISION%GOBP%GO:0007143	FEMALE MEIOTIC NUCLEAR DIVISION%GOBP%GO:0007143	Details ...	21	0.6983362	1.8292986	0.0	1.0	0.684	3316	tags=33%, list=14%, signal=39%	
PHOSPHATIDYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046471	PHOSPHATIDYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046471	Details ...	31	0.6279995	1.745775	0.0013297872	1.0	0.989	2498	tags=26%, list=10%, signal=29%	
VISUAL BEHAVIOR%GOBP%GO:0007632	VISUAL BEHAVIOR%GOBP%GO:0007632	Details ...	18	0.69790953	1.7383475	0.0056577087	1.0	0.991	4704	tags=61%, list=19%, signal=76%	
RECEPTOR INTERNALIZATION%GOBP%GO:0031623	RECEPTOR INTERNALIZATION%GOBP%GO:0031623	Details ...	55	0.56679773	1.7257509	0.0012642225	1.0	0.996	3335	tags=33%, list=14%, signal=38%	
COMMON PATHWAY OF FIBRIN CLOT FORMATION%REACTOME DATABASE ID RELEASE 95%140875	COMMON PATHWAY OF FIBRIN CLOT FORMATION%REACTOME DATABASE ID RELEASE 95%140875	Details ...	22	0.6625261	1.7236165	0.0013793104	1.0	0.998	3625	tags=41%, list=15%, signal=48%	
COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP558%HOMO SAPIENS	COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP558%HOMO SAPIENS	Details ...	49	0.55507797	1.6854132	0.0012903226	1.0	1.0	8585	tags=63%, list=35%, signal=97%	
GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20260211%WP2533%HOMO SAPIENS	GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20260211%WP2533%HOMO SAPIENS	Details ...	26	0.62050027	1.679389	0.0027510317	1.0	1.0	2739	tags=27%, list=11%, signal=30%	
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.5	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.5	Details ...	37	0.57843244	1.6733383	0.005319149	1.0	1.0	7592	tags=59%, list=31%, signal=86%	
DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP3896%HOMO SAPIENS	DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP3896%HOMO SAPIENS	Details ...	50	0.54811907	1.6516467	0.0013192613	1.0	1.0	8585	tags=62%, list=35%, signal=95%	
TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 95%202430	TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 95%202430	Details ...	22	0.63671553	1.6465982	0.0054945056	1.0	1.0	7592	tags=68%, list=31%, signal=99%	
FATTY ACID BETA OXIDATION%WIKIPATHWAYS_20260211%WP143%HOMO SAPIENS	FATTY ACID BETA OXIDATION%WIKIPATHWAYS_20260211%WP143%HOMO SAPIENS	Details ...	26	0.6159029	1.6450784	0.0055020633	1.0	1.0	4516	tags=46%, list=18%, signal=57%	
PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	Details ...	23	0.63620806	1.6448089	0.0056737587	1.0	1.0	5746	tags=57%, list=23%, signal=74%	
LONG-TERM POTENTIATION%REACTOME%R-HSA-9620244.3	LONG-TERM POTENTIATION%REACTOME%R-HSA-9620244.3	Details ...	22	0.61962116	1.6392797	0.005291005	1.0	1.0	5213	tags=50%, list=21%, signal=63%	
POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS%GOBP%GO:0090026	POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS%GOBP%GO:0090026	Details ...	18	0.66532856	1.6392707	0.0059084194	1.0	1.0	5323	tags=56%, list=22%, signal=71%	
ZYGOTIC GENOME ACTIVATION (ZGA)%REACTOME DATABASE ID RELEASE 95%9819196	ZYGOTIC GENOME ACTIVATION (ZGA)%REACTOME DATABASE ID RELEASE 95%9819196	Details ...	16	0.6799235	1.6337792	0.0028860029	1.0	1.0	6320	tags=63%, list=26%, signal=84%	
