NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGS2	3326	0.7031725645065308	-0.08817017	No	
row_1	CYP3A4	6491	0.3953041434288025	-0.19062254	No	
row_2	ABCB1	7517	0.3317831754684448	-0.20998149	No	
row_3	PDIA2	9370	0.2374846637248993	-0.26953635	No	
row_4	TOP2B	9618	0.22347763180732727	-0.26445702	No	
row_5	CYP3A5	9632	0.22250546514987946	-0.24988176	No	
row_6	PTGS1	11136	0.15085668861865997	-0.30105683	No	
row_7	UGT1A1	11385	0.13771629333496094	-0.30184093	No	
row_8	ABCC3	13789	0.024372218176722527	-0.39838007	No	
row_9	TOP2A	17419	-0.0647212490439415	-0.54227793	No	
row_10	ERP29	20455	-0.31222641468048096	-0.6450993	No	
row_11	MPO	20621	-0.333578884601593	-0.62919414	No	
row_12	SDF2L1	21686	-0.45525258779525757	-0.6417641	No	
row_13	PPIB	23277	-0.8449732661247253	-0.6493688	Yes	
row_14	HSP90B1	24073	-1.2474273443222046	-0.5971638	Yes	
row_15	HYOU1	24132	-1.3026032447814941	-0.51109666	Yes	
row_16	PDIA6	24349	-1.6722335815429688	-0.40639067	Yes	
row_17	DNAJB11	24360	-1.7045469284057617	-0.29107305	Yes	
row_18	PDIA4	24410	-1.9017527103424072	-0.16396031	Yes	
row_19	HSPA5	24475	-2.4631431102752686	6.53798E-4	Yes	
