NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERP27	1170	1.1581764221191406	0.045844425	No	
row_1	SULT1E1	4892	0.5288460850715637	-0.063442566	No	
row_2	UBE2E1	16738	-0.02647007629275322	-0.5453246	No	
row_3	TRIB3	16782	-0.028890341520309448	-0.54474556	No	
row_4	ATF3	18199	-0.11247441917657852	-0.59351254	No	
row_5	ERN1	19026	-0.1693732887506485	-0.6135693	No	
row_6	BBC3	19675	-0.2297322154045105	-0.6214716	No	
row_7	NFE2L2	20089	-0.2706112265586853	-0.61646545	No	
row_8	DNAJC3	21152	-0.404924213886261	-0.6271184	Yes	
row_9	EDEM1	21636	-0.44735655188560486	-0.61068046	Yes	
row_10	NARS1	21746	-0.46586230397224426	-0.57746327	Yes	
row_11	ATF4	22064	-0.5210166573524475	-0.54828566	Yes	
row_12	PPP1R15A	22096	-0.5301753878593445	-0.5066806	Yes	
row_13	BCL2L11	23012	-0.7546687126159668	-0.48304513	Yes	
row_14	XBP1	23131	-0.7916722893714905	-0.42384958	Yes	
row_15	EIF2A	23171	-0.8052268624305725	-0.3603298	Yes	
row_16	DDIT3	23630	-0.9800456762313843	-0.29979518	Yes	
row_17	DNAJB9	23793	-1.0715878009796143	-0.21976268	Yes	
row_18	ASNS	24187	-1.3648662567138672	-0.12545402	Yes	
row_19	DNAJB11	24360	-1.7045469284057617	0.0053531057	Yes	
