NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPAM	74	2.2702322006225586	0.16938315	Yes	
row_1	CEPT1	172	1.9198720455169678	0.3112189	Yes	
row_2	AGPS	469	1.5009087324142456	0.41310367	Yes	
row_3	PIK3CD	695	1.3464946746826172	0.5061638	Yes	
row_4	LPIN2	1812	0.9741531610488892	0.5345294	Yes	
row_5	PGS1	2478	0.8346866369247437	0.57073724	Yes	
row_6	CDIPT	2739	0.7952041625976562	0.62050027	Yes	
row_7	CHPT1	5976	0.4337303936481476	0.5211738	No	
row_8	GPD1	8138	0.296387642621994	0.4553556	No	
row_9	PLA2G2A	8498	0.2770145833492279	0.46171945	No	
row_10	PCYT2	8778	0.26101914048194885	0.4701384	No	
row_11	GPAT2	8949	0.25172510743141174	0.4823067	No	
row_12	PIK3CA	9455	0.23154883086681366	0.47925025	No	
row_13	CHKB	10242	0.1903458833694458	0.46157944	No	
row_14	CDS2	10585	0.17028845846652985	0.46053302	No	
row_15	PEMT	11591	0.1281522959470749	0.42918786	No	
row_16	GNPAT	12263	0.09464611858129501	0.40894973	No	
row_17	MOGAT3	13118	0.05598404258489609	0.37829572	No	
row_18	IPMK	13138	0.054905831813812256	0.38168883	No	
row_19	PTDSS1	16420	-0.01343518402427435	0.24860469	No	
row_20	PTPMT1	16795	-0.029536694288253784	0.23556127	No	
row_21	CRLS1	17327	-0.058988019824028015	0.21833739	No	
row_22	PI4K2A	18060	-0.10273972898721695	0.19622065	No	
row_23	PIP5K1A	18486	-0.13294139504432678	0.18894555	No	
row_24	LPIN1	20123	-0.2742266058921814	0.14290278	No	
row_25	GPAT4	21765	-0.4686405062675476	0.11141997	No	
