NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPIND1	38	2.516871452331543	0.10893111	Yes	
row_1	F5	370	1.5926839113235474	0.1653046	Yes	
row_2	C6	1023	1.2066820859909058	0.19160022	Yes	
row_3	MASP2	1233	1.1395560503005981	0.23307368	Yes	
row_4	F13B	1399	1.0872275829315186	0.2740502	Yes	
row_5	CLTC	1727	0.9963905215263367	0.30441123	Yes	
row_6	C1QC	1856	0.9628303647041321	0.34144074	Yes	
row_7	CR1	2062	0.9178399443626404	0.37334493	Yes	
row_8	F2R	2633	0.8073062896728516	0.38546363	Yes	
row_9	F9	2880	0.7696092128753662	0.40918332	Yes	
row_10	C5AR1	3980	0.6123743057250977	0.3911018	Yes	
row_11	BDKRB1	4036	0.6064011454582214	0.4154714	Yes	
row_12	LMAN1	4337	0.584985077381134	0.42887717	Yes	
row_13	TFPI	5088	0.5088838338851929	0.4205313	Yes	
row_14	CFH	5363	0.48497042059898376	0.43061036	Yes	
row_15	C3AR1	5633	0.4594191014766693	0.43977234	Yes	
row_16	SERPINA1	5714	0.45197051763534546	0.45633993	Yes	
row_17	C9	5970	0.43452197313308716	0.46498173	Yes	
row_18	CR2	6380	0.4028979241847992	0.4659347	Yes	
row_19	C8G	6475	0.39699891209602356	0.47951633	Yes	
row_20	PLAT	6682	0.38202449679374695	0.48785836	Yes	
row_21	KNG1	6721	0.3804176151752472	0.50300324	Yes	
row_22	MASP1	6766	0.3781999945640564	0.51780534	Yes	
row_23	CD46	7678	0.3208753764629364	0.49461922	Yes	
row_24	F3	7755	0.3165159523487091	0.5054043	Yes	
row_25	THBD	7868	0.3106246888637543	0.5144578	Yes	
row_26	C1QA	7946	0.306109219789505	0.5247451	Yes	
row_27	F8	8200	0.2930789887905121	0.52725965	Yes	
row_28	CD55	8435	0.2807234525680542	0.5300092	Yes	
row_29	CFI	8462	0.27918103337287903	0.541201	Yes	
row_30	VWF	8585	0.27129948139190674	0.54811907	Yes	
row_31	F10	9159	0.24064847826957703	0.5352398	No	
row_32	SERPINC1	9825	0.21197985112667084	0.5173381	No	
row_33	PROC	10384	0.18239982426166534	0.50251555	No	
row_34	APOA2	10506	0.17478923499584198	0.50523794	No	
row_35	C7	11048	0.15538427233695984	0.48992497	No	
row_36	KLKB1	12530	0.08214559406042099	0.4329386	No	
row_37	PLAUR	12789	0.07209189981222153	0.4255477	No	
row_38	PLG	13195	0.05205545201897621	0.411263	No	
row_39	SERPINF2	13467	0.03880498558282852	0.40187898	No	
row_40	C1R	13764	0.025775836780667305	0.3909002	No	
row_41	C1QB	14045	0.01225003506988287	0.37998223	No	
row_42	F2	14631	0.0	0.35604802	No	
row_43	CFD	16994	-0.040084194391965866	0.26117072	No	
row_44	C2	17052	-0.04314117506146431	0.26073247	No	
row_45	CLU	17390	-0.06293889880180359	0.24970762	No	
row_46	SERPING1	18358	-0.12468816339969635	0.21561815	No	
row_47	PROS1	18591	-0.1400185078382492	0.21227284	No	
row_48	CPB2	19996	-0.2595943212509155	0.16622642	No	
row_49	F7	21132	-0.4017820358276367	0.13742742	No	
