NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GALM	10426	0.17993074655532837	-0.4059617	No	
row_1	PGM1	11433	0.13572806119918823	-0.4319715	No	
row_2	GALE	13492	0.03758666664361954	-0.51187456	No	
row_3	MPI	13557	0.03489025682210922	-0.5106099	No	
row_4	GALT	13575	0.03442208096385002	-0.50747705	No	
row_5	GNE	16545	-0.018420817330479622	-0.62673134	No	
row_6	GALK1	17214	-0.05226195603609085	-0.6482124	No	
row_7	DPM2	18158	-0.10941331833600998	-0.67457414	No	
row_8	DOLK	20864	-0.36512860655784607	-0.7444917	Yes	
row_9	DHDDS	21824	-0.4803088903427124	-0.7302671	Yes	
row_10	DPM3	23046	-0.7652386426925659	-0.6950653	Yes	
row_11	NUS1	23325	-0.8622233271598816	-0.61055225	Yes	
row_12	PMM2	23423	-0.8847184181213379	-0.51614296	Yes	
row_13	DPM1	23830	-1.0927571058273315	-0.4112263	Yes	
row_14	SRD5A3	24394	-1.8312677145004272	-0.23060863	Yes	
row_15	GFPT1	24450	-2.1092684268951416	0.0016751322	Yes	
