NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP7A1	15	2.937051296234131	0.21507359	Yes	
row_1	FDFT1	568	1.4189927577972412	0.2967184	Yes	
row_2	MTTP	1691	1.004258394241333	0.32460988	Yes	
row_3	LIPC	1959	0.9381425380706787	0.3825911	Yes	
row_4	LPL	2484	0.8337146639823914	0.42239952	Yes	
row_5	HMGCR	2596	0.8143539428710938	0.47766608	Yes	
row_6	DGAT1	3418	0.6902162432670593	0.4947977	Yes	
row_7	ACSS1	3771	0.640662670135498	0.52745897	Yes	
row_8	LDLR	5040	0.5144705176353455	0.513415	Yes	
row_9	ABCG8	6622	0.3874010145664215	0.47724667	Yes	
row_10	APOC2	6650	0.3851802349090576	0.5044294	Yes	
row_11	ABCG5	6893	0.36914491653442383	0.5216473	Yes	
row_12	SCARB1	7053	0.3571324348449707	0.5413752	Yes	
row_13	SOAT1	7066	0.35663220286369324	0.5670746	Yes	
row_14	APOB	7944	0.3061867654323578	0.55371565	Yes	
row_15	APOC3	8179	0.29433950781822205	0.565767	Yes	
row_16	APOA5	8428	0.2808627486228943	0.57625645	Yes	
row_17	APOA4	8580	0.271779865026474	0.5900434	Yes	
row_18	PDIA2	9370	0.2374846637248993	0.57523596	No	
row_19	APOA2	10506	0.17478923499584198	0.54168284	No	
row_20	APOE	12164	0.09987661242485046	0.48129356	No	
row_21	APOC1	13164	0.053558193147182465	0.44439617	No	
row_22	PLTP	13576	0.03440004214644432	0.43012425	No	
row_23	SQLE	18042	-0.10152311623096466	0.25508904	No	
row_24	ABCA1	18242	-0.11506085842847824	0.2554053	No	
