NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRAC	130	2.0351974964141846	0.15564561	Yes	
row_1	HLA-DRB5	374	1.5893957614898682	0.27141535	Yes	
row_2	TRAV29DV5	1245	1.1343529224395752	0.32557052	Yes	
row_3	TRAV8-4	2072	0.915989100933075	0.36425415	Yes	
row_4	CD3E	3414	0.6906514763832092	0.36406758	Yes	
row_5	HLA-DRB1	3481	0.6819107532501221	0.41530076	Yes	
row_6	TRBC1	3851	0.6310272812843323	0.45012566	Yes	
row_7	HLA-DRA	4702	0.5453381538391113	0.45851448	Yes	
row_8	HLA-DQA1	4961	0.5220373272895813	0.48925632	Yes	
row_9	TRAV19	5014	0.5166987776756287	0.52799547	Yes	
row_10	HLA-DQB1	5344	0.4866907298564911	0.55304	Yes	
row_11	CD4	6290	0.410113662481308	0.54685146	Yes	
row_12	HLA-DQB2	6561	0.39173993468284607	0.566798	Yes	
row_13	CD3D	7293	0.3457622826099396	0.5642665	Yes	
row_14	TRBV7-9	7592	0.32714447379112244	0.5779599	Yes	
row_15	PTPRC	7624	0.32460227608680725	0.6023649	Yes	
row_16	LCK	10455	0.17815633118152618	0.50078887	No	
row_17	HLA-DPA1	11596	0.12790930271148682	0.4643115	No	
row_18	PAG1	12518	0.08283306658267975	0.43322006	No	
row_19	TRBV12-3	12772	0.07286501675844193	0.4286423	No	
row_20	HLA-DPB1	13283	0.04726904630661011	0.4115363	No	
row_21	PTPN22	16360	-0.0112742455676198	0.2867076	No	
row_22	CD3G	17750	-0.08284617215394974	0.23648936	No	
row_23	CSK	17948	-0.09623898565769196	0.23604901	No	
row_24	PTPRJ	21099	-0.39616385102272034	0.13863581	No	
