NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCAP	385	1.5778865814208984	0.015969196	No	
row_1	ATL2	894	1.2588388919830322	0.020482054	No	
row_2	XPO1	972	1.223788857460022	0.041945107	No	
row_3	UBE2I	1592	1.0320805311203003	0.03734964	No	
row_4	P4HA2	2462	0.8360826969146729	0.018570697	No	
row_5	UBA52	2801	0.7825218439102173	0.02046594	No	
row_6	STT3B	3063	0.7413191795349121	0.024686553	No	
row_7	PABPC1	3409	0.691432535648346	0.024462737	No	
row_8	DDOST	4696	0.5459704399108887	-0.017233752	No	
row_9	TUSC3	4840	0.533623993396759	-0.012357363	No	
row_10	KPNA7	5384	0.4834679961204529	-0.024875274	No	
row_11	SUN2	5912	0.43955567479133606	-0.037621092	No	
row_12	SEC11A	6059	0.42754101753234863	-0.035001516	No	
row_13	KPNB1	7041	0.3581618666648865	-0.06798203	No	
row_14	PRKG2	7073	0.3562048077583313	-0.062086627	No	
row_15	APOA1	7130	0.35318055748939514	-0.057276145	No	
row_16	RPS27A	7198	0.35119280219078064	-0.052956242	No	
row_17	DNAJC10	7487	0.3338332772254944	-0.058038466	No	
row_18	P4HA3	8590	0.2710275650024414	-0.09772832	No	
row_19	DAD1	9463	0.23117190599441528	-0.12879829	No	
row_20	BAG2	9545	0.2272658348083496	-0.12754475	No	
row_21	NPLOC4	10024	0.20253737270832062	-0.14305112	No	
row_22	EIF4E3	10233	0.19121719896793365	-0.14772508	No	
row_23	CANX	10336	0.1855255663394928	-0.14817138	No	
row_24	RTN3	11317	0.14153841137886047	-0.18546845	No	
row_25	BTF3	11700	0.12248590588569641	-0.19865261	No	
row_26	EIF4E	11805	0.11664294451475143	-0.20056647	No	
row_27	KPNA1	12183	0.09919917583465576	-0.21401425	No	
row_28	HSPA8	12476	0.08580989390611649	-0.22424945	No	
row_29	DNAJA2	12840	0.06948506832122803	-0.23772146	No	
row_30	FASN	12994	0.06242147833108902	-0.24273323	No	
row_31	UFD1	13064	0.05829087644815445	-0.24438715	No	
row_32	ACOT2	13257	0.048823632299900055	-0.25127003	No	
row_33	HSPA1B	13775	0.02503151446580887	-0.2719446	No	
row_34	KPNA3	13776	0.024952547624707222	-0.27144265	No	
row_35	OST4	13852	0.02112894132733345	-0.2740899	No	
row_36	CALR	13947	0.0164133682847023	-0.2776103	No	
row_37	HSPA1A	14122	0.008076253347098827	-0.2845755	No	
row_38	STT3A	14143	0.007414605934172869	-0.2852456	No	
row_39	XRN1	16943	-0.0372762568295002	-0.3991525	No	
row_40	EIF4G1	17380	-0.061948489397764206	-0.41576642	No	
row_41	SUMO1	17608	-0.0746796652674675	-0.4235629	No	
row_42	NMT1	17936	-0.09572925418615341	-0.4350323	No	
row_43	DPM2	18158	-0.10941331833600998	-0.4418843	No	
row_44	IPO7	19059	-0.17166627943515778	-0.47529826	No	
row_45	KPNA5	19493	-0.210926353931427	-0.48879254	No	
row_46	KPNA2	19593	-0.2205350250005722	-0.48841172	No	
row_47	EIF4G3	20003	-0.2606811225414276	-0.49992204	No	
row_48	KPNA4	20540	-0.3231358230113983	-0.51537836	No	
row_49	UBC	20748	-0.3511769473552704	-0.51679367	No	
row_50	PDIA3	21100	-0.3963899612426758	-0.52319825	No	
row_51	NACA	21149	-0.40423598885536194	-0.51703304	No	
row_52	DNAJC3	21152	-0.404924213886261	-0.50896966	No	
row_53	P4HB	21297	-0.4118269383907318	-0.5065842	No	
row_54	EIF4A2	21901	-0.49214884638786316	-0.5213854	No	
row_55	MAGT1	22200	-0.551051139831543	-0.5225077	No	
row_56	VCP	22628	-0.6370116472244263	-0.52718526	Yes	
row_57	RPN1	22885	-0.7166064977645874	-0.52325696	Yes	
row_58	EIF4A3	23032	-0.7600183486938477	-0.5139494	Yes	
row_59	DPM3	23046	-0.7652386426925659	-0.49908867	Yes	
row_60	EIF4G2	23132	-0.7919690012931824	-0.48663965	Yes	
row_61	RPN2	23181	-0.8071211576461792	-0.47237018	Yes	
row_62	SPCS3	23190	-0.8097572922706604	-0.45640913	Yes	
row_63	OSTC	23210	-0.8194751739501953	-0.4407032	Yes	
row_64	TMEM258	23330	-0.8666765093803406	-0.42814416	Yes	
row_65	HDLBP	23543	-0.9418587684631348	-0.41788235	Yes	
row_66	DPM1	23830	-1.0927571058273315	-0.40761644	Yes	
row_67	SPCS1	23831	-1.0931637287139893	-0.3856268	Yes	
row_68	MAP1LC3B	23950	-1.1576824188232422	-0.36717302	Yes	
row_69	UBB	23988	-1.1973704099655151	-0.34460285	Yes	
row_70	HYOU1	24132	-1.3026032447814941	-0.324258	Yes	
row_71	YBX1	24160	-1.3306679725646973	-0.29859683	Yes	
row_72	SPCS2	24196	-1.3816046714782715	-0.27223873	Yes	
row_73	VIM	24249	-1.4592993259429932	-0.24501418	Yes	
row_74	EIF4A1	24337	-1.6346251964569092	-0.21569653	Yes	
row_75	DNAJB11	24360	-1.7045469284057617	-0.18230976	Yes	
row_76	RRBP1	24413	-1.9122648239135742	-0.1459735	Yes	
row_77	SEC11C	24467	-2.3550493717193604	-0.10077135	Yes	
row_78	HSPA5	24475	-2.4631431102752686	-0.051510505	Yes	
row_79	P4HA1	24480	-2.591280460357666	4.507881E-4	Yes	
