NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDOST	4696	0.5459704399108887	-0.15865284	No	
row_1	CSNK2A1	5109	0.5079267024993896	-0.14448532	No	
row_2	ANK3	6024	0.42949530482292175	-0.15562974	No	
row_3	SEC11A	6059	0.42754101753234863	-0.13091636	No	
row_4	POMT1	6583	0.3904387056827545	-0.12846006	No	
row_5	JUP	7082	0.35569390654563904	-0.12710303	No	
row_6	FURIN	7628	0.32439175248146057	-0.12957865	No	
row_7	DAD1	9463	0.23117190599441528	-0.19044408	No	
row_8	MOGS	9622	0.22331134974956512	-0.18326938	No	
row_9	CDH1	10305	0.1870228499174118	-0.199733	No	
row_10	CANX	10336	0.1855255663394928	-0.18963228	No	
row_11	PIP5K1C	12189	0.09892523288726807	-0.2593079	No	
row_12	OST4	13852	0.02112894132733345	-0.32596552	No	
row_13	STT3A	14143	0.007414605934172869	-0.33736894	No	
row_14	CSNK2A3	14533	0.0	-0.35327244	No	
row_15	ARHGAP32	16956	-0.03818726912140846	-0.44995973	No	
row_16	PCSK7	18314	-0.1205061599612236	-0.4980806	No	
row_17	CSNK2B	19014	-0.16851754486560822	-0.51636904	No	
row_18	CSNK2A2	19213	-0.18434825539588928	-0.51320857	No	
row_19	PRKCSH	20209	-0.28333330154418945	-0.53658843	No	
row_20	POMT2	20588	-0.3296569585800171	-0.53191507	No	
row_21	GANAB	22317	-0.5754772424697876	-0.56742543	Yes	
row_22	CTNNB1	22685	-0.6553758382797241	-0.5424157	Yes	
row_23	RPN1	22885	-0.7166064977645874	-0.5067992	Yes	
row_24	RPN2	23181	-0.8071211576461792	-0.46958116	Yes	
row_25	SPCS3	23190	-0.8097572922706604	-0.4204687	Yes	
row_26	OSTC	23210	-0.8194751739501953	-0.37121263	Yes	
row_27	TMEM258	23330	-0.8666765093803406	-0.323163	Yes	
row_28	SPCS1	23831	-1.0931637287139893	-0.2768617	Yes	
row_29	PCSK6	24031	-1.237928032875061	-0.20941605	Yes	
row_30	SPCS2	24196	-1.3816046714782715	-0.13176736	Yes	
row_31	SEC11C	24467	-2.3550493717193604	9.811437E-4	Yes	
