NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAS2R4	124	2.049381971359253	0.18199302	Yes	
row_1	AZGP1	1538	1.0466309785842896	0.21975686	Yes	
row_2	TAS2R10	2180	0.8910039067268372	0.27487847	Yes	
row_3	LPO	4058	0.6032758355140686	0.2532034	Yes	
row_4	TAS2R13	4276	0.5921288728713989	0.2983795	Yes	
row_5	TAS2R31	4529	0.5628204941749573	0.33944947	Yes	
row_6	CA6	4675	0.5473625063896179	0.38348314	Yes	
row_7	TAS2R43	4930	0.5252882838249207	0.42104548	Yes	
row_8	TAS2R46	4998	0.5181326270103455	0.4656001	Yes	
row_9	TAS2R50	5314	0.491199254989624	0.49755692	Yes	
row_10	RTP1	6042	0.4283773601055145	0.506935	Yes	
row_11	RTP4	6146	0.42098379135131836	0.5411503	Yes	
row_12	RTP5	6407	0.40130454301834106	0.56715035	Yes	
row_13	PIP	8072	0.29988396167755127	0.5264908	No	
row_14	TAS2R14	8377	0.28418442606925964	0.5400016	No	
row_15	TAS2R30	9613	0.2239660918712616	0.50995195	No	
row_16	TAS2R3	9981	0.2046099454164505	0.5136236	No	
row_17	TAS2R8	11619	0.12625262141227722	0.4582193	No	
row_18	PIGR	12305	0.09255670011043549	0.4386616	No	
row_19	TAS2R5	13573	0.03444777801632881	0.39000493	No	
row_20	CST1	14534	0.0	0.3507556	No	
row_21	CST2	14535	0.0	0.3507556	No	
row_22	CST4	14536	0.0	0.3507556	No	
row_23	RTP3	15866	0.0	0.29641977	No	
row_24	TAS2R1	15995	0.0	0.2911865	No	
row_25	TAS2R16	15996	0.0	0.2911865	No	
row_26	TAS2R38	15997	0.0	0.2911865	No	
row_27	TAS2R39	15998	0.0	0.2911865	No	
row_28	TAS2R40	15999	0.0	0.2911865	No	
row_29	TAS2R7	16001	0.0	0.29114562	No	
row_30	TAS2R9	16002	0.0	0.29114562	No	
row_31	GNAT2	19391	-0.19911393523216248	0.17080276	No	
row_32	RTP2	21352	-0.4126809537410736	0.1283372	No	
