NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMTNL1	100	2.141430139541626	0.2519549	Yes	
row_1	ADRA1D	271	1.7216650247573853	0.45086074	Yes	
row_2	OXTR	1397	1.0873998403549194	0.5349144	Yes	
row_3	F2R	2633	0.8073062896728516	0.58098453	Yes	
row_4	FGA	3331	0.702640175819397	0.6365201	Yes	
row_5	ADRA1A	5080	0.5098659992218018	0.6260683	Yes	
row_6	AVP	5350	0.4865047335624695	0.6732474	Yes	
row_7	FGG	12706	0.07604147493839264	0.38185313	No	
row_8	AVPR1B	13028	0.060437168926000595	0.37596497	No	
row_9	TRPM4	14132	0.0077191744931042194	0.3318252	No	
row_10	AVPR1A	14426	0.0	0.31985477	No	
row_11	CAV1	16207	-0.0032420363277196884	0.24752107	No	
row_12	AVPR2	17097	-0.04568867385387421	0.21666403	No	
row_13	TBXA2R	19483	-0.20998144149780273	0.14433208	No	
row_14	FGB	21970	-0.5037195682525635	0.10299465	No	
