NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2A13	1092	1.1805254220962524	0.002285874	No	
row_1	RETSAT	1741	0.9925956130027771	0.015255198	No	
row_2	CYP2A7	2175	0.8919019103050232	0.033012457	No	
row_3	DGAT1	3418	0.6902162432670593	0.009669247	No	
row_4	DHRS3	4252	0.5939087867736816	-7.786846E-4	No	
row_5	CYP2B6	4564	0.5587310194969177	0.008719997	No	
row_6	LRAT	6205	0.41615673899650574	-0.04179499	No	
row_7	BCO1	6328	0.4071556627750397	-0.030594675	No	
row_8	CYP3A4	6491	0.3953041434288025	-0.021501249	No	
row_9	CYP3A7	6662	0.3843742907047272	-0.01316954	No	
row_10	ALDH1A1	7361	0.34135422110557556	-0.028139047	No	
row_11	ADH1A	8265	0.2893927991390228	-0.053557355	No	
row_12	DHRS4	8618	0.2695804238319397	-0.05723225	No	
row_13	PDIA2	9370	0.2374846637248993	-0.078499	No	
row_14	CYP3A5	9632	0.22250546514987946	-0.08032454	No	
row_15	UGT1A1	11385	0.13771629333496094	-0.14649054	No	
row_16	RDH11	11880	0.1121411994099617	-0.16223203	No	
row_17	PNPLA4	14065	0.011162529699504375	-0.2510951	No	
row_18	CYP2A6	14560	0.0	-0.27129546	No	
row_19	CYP3A43	14561	0.0	-0.27129546	No	
row_20	RDH12	16263	-0.00634691072627902	-0.34059942	No	
row_21	ALDH1A2	17195	-0.05115150660276413	-0.3766355	No	
row_22	RDH8	17269	-0.05586956813931465	-0.37739912	No	
row_23	DHRS9	17717	-0.08142011612653732	-0.3924402	No	
row_24	ERP29	20455	-0.31222641468048096	-0.4919455	No	
row_25	SDF2L1	21686	-0.45525258779525757	-0.5241405	No	
row_26	RPE65	23130	-0.7916677594184875	-0.55166906	Yes	
row_27	PPIB	23277	-0.8449732661247253	-0.5240419	Yes	
row_28	RDH16	23927	-1.1485732793807983	-0.50491154	Yes	
row_29	HSP90B1	24073	-1.2474273443222046	-0.4612414	Yes	
row_30	HYOU1	24132	-1.3026032447814941	-0.4118198	Yes	
row_31	CYP26A1	24225	-1.4220516681671143	-0.35903907	Yes	
row_32	AWAT1	24299	-1.5565834045410156	-0.30013224	Yes	
row_33	PDIA6	24349	-1.6722335815429688	-0.23564559	Yes	
row_34	DNAJB11	24360	-1.7045469284057617	-0.16827938	Yes	
row_35	PDIA4	24410	-1.9017527103424072	-0.09466674	Yes	
row_36	HSPA5	24475	-2.4631431102752686	6.541797E-4	Yes	
