NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR2	474	1.4969145059585571	0.08355282	Yes	
row_1	TMEM102	699	1.3448007106781006	0.16686569	Yes	
row_2	XCL1	1808	0.9744989275932312	0.18858013	Yes	
row_3	WNK1	1874	0.9574562907218933	0.25175852	Yes	
row_4	STK39	1880	0.9567160606384277	0.31733868	Yes	
row_5	CXCL12	1938	0.9428681135177612	0.37984097	Yes	
row_6	S100A7	2636	0.8066070079803467	0.4068119	Yes	
row_7	APP	3149	0.7297414541244507	0.43605992	Yes	
row_8	SPN	3200	0.7212363481521606	0.4836088	Yes	
row_9	DOCK8	4245	0.5948522090911865	0.48183462	Yes	
row_10	AIF1	4522	0.5639511346817017	0.50933	Yes	
row_11	CCL5	4541	0.5614780783653259	0.5472019	Yes	
row_12	ADAM17	5281	0.49376440048217773	0.5509446	Yes	
row_13	WNT5A	5827	0.4437936842441559	0.5591817	Yes	
row_14	ABL2	6237	0.4137943685054779	0.5709154	Yes	
row_15	CXCL10	6440	0.39904266595840454	0.5900965	Yes	
row_16	CCL21	7694	0.3200179636478424	0.56088096	No	
row_17	ADAM10	12421	0.088017039000988	0.37374339	No	
row_18	ABL1	13270	0.04804433137178421	0.34238234	No	
row_19	ADAM8	13361	0.043529581278562546	0.34169644	No	
row_20	TNFRSF14	13691	0.029213562607765198	0.3302563	No	
row_21	LGALS9	14182	0.005384224001318216	0.3105963	No	
row_22	PYCARD	17028	-0.041546985507011414	0.19715501	No	
row_23	OXSR1	17539	-0.07035597413778305	0.18114492	No	
row_24	CXCL13	18728	-0.14828532934188843	0.14277801	No	
row_25	RHOA	19981	-0.2586882710456848	0.10938629	No	
row_26	FADD	20224	-0.2846054434776306	0.11906349	No	
row_27	CCL20	21066	-0.39214035868644714	0.11164892	No	
row_28	P4HB	21297	-0.4118269383907318	0.13056451	No	
